"region_pair","freq_band","s_pval","int_pval"
"Acc_x_LPBN",1,2e-16,2e-16
"Acc_x_MD_thal",1,2e-16,0.000120012765555532
"Acc_x_Po",1,2e-16,2e-16
"Acc_x_RPBN",1,2e-16,2e-16
"Acc_x_VPM",1,2e-16,2e-16
"LPBN_x_MD_thal",1,2e-16,6.09782664993986e-08
"LPBN_x_Po",1,2e-16,2e-16
"LPBN_x_RPBN",1,2e-16,2e-16
"LPBN_x_VPM",1,2e-16,0.000675871413535314
"MD_thal_x_Po",1,2e-16,2e-16
"MD_thal_x_RPBN",1,2e-16,2.42792123549631e-09
"MD_thal_x_VPM",1,2e-16,5.92514763889848e-06
"Po_x_RPBN",1,2e-16,4.41775811923489e-09
"Po_x_VPM",1,2e-16,2e-16
"RPBN_x_VPM",1,2e-16,0.022690824523405
"Acc_x_LPBN",2,2e-16,2e-16
"Acc_x_MD_thal",2,2e-16,2e-16
"Acc_x_Po",2,2e-16,2e-16
"Acc_x_RPBN",2,2e-16,2e-16
"Acc_x_VPM",2,2e-16,2e-16
"LPBN_x_MD_thal",2,2e-16,0.752325353375657
"LPBN_x_Po",2,2e-16,1.22435826906911e-07
"LPBN_x_RPBN",2,2e-16,2e-16
"LPBN_x_VPM",2,2e-16,2e-16
"MD_thal_x_Po",2,2e-16,0.0185359640802698
"MD_thal_x_RPBN",2,2e-16,0.401540801844707
"MD_thal_x_VPM",2,2e-16,2e-16
"Po_x_RPBN",2,2e-16,5.26215009409641e-11
"Po_x_VPM",2,2e-16,2e-16
"RPBN_x_VPM",2,2e-16,2e-16
"Acc_x_LPBN",3,2e-16,0.138815232003721
"Acc_x_MD_thal",3,2e-16,9.84143744785785e-14
"Acc_x_Po",3,2e-16,0.0538475867917611
"Acc_x_RPBN",3,2e-16,0.000341611159315757
"Acc_x_VPM",3,2e-16,0.677058727180205
"LPBN_x_MD_thal",3,2e-16,0.0055389820723989
"LPBN_x_Po",3,2e-16,0.183172999007707
"LPBN_x_RPBN",3,2e-16,2e-16
"LPBN_x_VPM",3,2e-16,2e-16
"MD_thal_x_Po",3,2e-16,2e-16
"MD_thal_x_RPBN",3,2e-16,0.00597547145482364
"MD_thal_x_VPM",3,2e-16,2e-16
"Po_x_RPBN",3,2e-16,0.526644997097381
"Po_x_VPM",3,2e-16,2e-16
"RPBN_x_VPM",3,2e-16,2e-16
"Acc_x_LPBN",4,2e-16,0.199624483906593
"Acc_x_MD_thal",4,2e-16,2e-16
"Acc_x_Po",4,2e-16,2e-16
"Acc_x_RPBN",4,2e-16,0.149739211377077
"Acc_x_VPM",4,2e-16,2e-16
"LPBN_x_MD_thal",4,2e-16,7.24200658923279e-08
"LPBN_x_Po",4,2e-16,2e-16
"LPBN_x_RPBN",4,2e-16,0.112131356040545
"LPBN_x_VPM",4,2e-16,2e-16
"MD_thal_x_Po",4,2e-16,2e-16
"MD_thal_x_RPBN",4,2e-16,0.0170674577495968
"MD_thal_x_VPM",4,2e-16,2e-16
"Po_x_RPBN",4,2e-16,5.15936872949399e-16
"Po_x_VPM",4,2e-16,2e-16
"RPBN_x_VPM",4,2e-16,2e-16
"Acc_x_AMY",1,2e-16,2e-16
"AMY_x_LPBN",1,2e-16,2e-16
"AMY_x_MD_thal",1,2e-16,1.87600655521843e-05
"AMY_x_Po",1,2e-16,2e-16
"AMY_x_RPBN",1,2e-16,2.46409909820135e-16
"AMY_x_VPM",1,2e-16,2e-16
"Acc_x_AMY",2,2e-16,2e-16
"AMY_x_LPBN",2,2e-16,2e-16
"AMY_x_MD_thal",2,2e-16,2e-16
"AMY_x_Po",2,2e-16,2e-16
"AMY_x_RPBN",2,2e-16,2e-16
"AMY_x_VPM",2,2e-16,2e-16
"Acc_x_AMY",3,2e-16,2e-16
"AMY_x_LPBN",3,2e-16,0.0793653258060385
"AMY_x_MD_thal",3,2e-16,2e-16
"AMY_x_Po",3,2e-16,0.0367315054391282
"AMY_x_RPBN",3,2e-16,0.00102294437134783
"AMY_x_VPM",3,2e-16,1.5037401689754e-13
"Acc_x_AMY",4,2e-16,0.0012979634572493
"AMY_x_LPBN",4,2e-16,2e-16
"AMY_x_MD_thal",4,2e-16,2e-16
"AMY_x_Po",4,2e-16,2e-16
"AMY_x_RPBN",4,2e-16,2e-16
"AMY_x_VPM",4,2e-16,2e-16
