"region","freq_band","s_pval","int_pval"
"Acc",1,2e-16,2e-16
"LPBN",1,2e-16,5.1725378287636e-09
"MD_thal",1,2e-16,2e-16
"Po",1,2e-16,2.09136727993703e-08
"RPBN",1,2e-16,0.0442939899294382
"VPM",1,2e-16,2e-16
"Acc",2,2e-16,2e-16
"LPBN",2,2e-16,2e-16
"MD_thal",2,2e-16,2e-16
"Po",2,2e-16,2e-16
"RPBN",2,2e-16,2e-16
"VPM",2,2e-16,2e-16
"Acc",3,2e-16,2e-16
"LPBN",3,2e-16,2e-16
"MD_thal",3,2e-16,2e-16
"Po",3,2e-16,2e-16
"RPBN",3,2e-16,2e-16
"VPM",3,2e-16,2e-16
"Acc",4,2e-16,2e-16
"LPBN",4,2e-16,2e-16
"MD_thal",4,2e-16,2e-16
"Po",4,2e-16,2e-16
"RPBN",4,2e-16,2e-16
"VPM",4,2e-16,2e-16
"AMY",1,2e-16,2e-16
"AMY",2,2e-16,2e-16
"AMY",3,2e-16,2e-16
"AMY",4,2e-16,2e-16
