"region","freq_band","els_par_pval","els_spval","els_cgrp_intn_par_pval","els_cgrp_intn_spval"
"Acc",1,0.873169722284172,2e-16,1.27447209191382e-08,2e-16
"LPBN",1,0.998907467152889,2e-16,0.00349619844772431,1.49349591708758e-05
"MD_thal",1,0.688149637047911,2e-16,2.96382233370759e-06,2e-16
"Po",1,0.74686428209183,2e-16,5.47751054962052e-14,2e-16
"RPBN",1,0.542637529412727,2e-16,8.73446942606239e-06,2e-16
"VPM",1,0.782490760063022,1.2148336061002e-06,2e-16,2e-16
"Acc",2,0.125500004414333,0.146604054540639,7.16023984653548e-05,2.02857426290226e-06
"LPBN",2,0.254771241240566,2e-16,2.30516820998726e-06,0.00176499003302488
"MD_thal",2,0.141609149041719,1.27926150405022e-05,2e-16,0.000345874850278594
"Po",2,0.562451766913436,2e-16,2e-16,0.329404351237391
"RPBN",2,0.129114376056846,7.91861888116419e-07,0.432683650915573,0.0119594089474399
"VPM",2,0.204455563647369,2e-16,2e-16,0.531705908970797
"Acc",3,0.648830206103605,0.000183917118668275,3.42047776229835e-10,3.00536863871437e-05
"LPBN",3,0.694338979394198,2e-16,0.135978476800641,0.0466728522543015
"MD_thal",3,0.640550336855447,2e-16,2e-16,0.000289050115811595
"Po",3,0.602003076548898,2e-16,2e-16,0.000987281484096159
"RPBN",3,0.293303450838237,2e-16,0.000740906542745118,0.00819146063325488
"VPM",3,0.990385844716959,2e-16,2e-16,0.000341141945446932
"Acc",4,0.123042109588711,0.00014790171753043,2e-16,0.000933703302568478
"LPBN",4,0.171142878823439,0.00223066882113282,0.16015690943011,0.000403844289175226
"MD_thal",4,0.491212399291521,2e-16,6.85591025083114e-07,0.00096481999766429
"Po",4,0.127708234579862,2e-16,2e-16,2e-16
"RPBN",4,0.175939215990387,0.0178039657450109,0.00154162980323395,0.00507922192639382
"VPM",4,0.317761651974072,2e-16,2e-16,2e-16
"AMY",1,0.939536237158018,0.00146407908027901,0.572539461603362,1.38966507329252e-05
"AMY",2,0.0964521970427248,2e-16,0.00288336809710858,0.00916526064679141
"AMY",3,0.185641911552748,2e-16,0.0662232769293135,2e-16
"AMY",4,0.0731537862869412,0.0048727317976171,2e-16,2e-16
