"region","freq_band","pval_type","pval","experiment","data_type","pval_fdr_adjusted","fdr_significant"
"Acc_x_AMY",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_AMY",4,"int_pval",0.0012979634572493,"CGRPaba","coherence",0.00178097282954881,TRUE
"Acc_x_LPBN",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",3,"int_pval",0.138815232003721,"CGRPaba","coherence",0.167625940532795,FALSE
"Acc_x_LPBN",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",4,"int_pval",0.199624483906593,"CGRPaba","coherence",0.236905347788487,FALSE
"Acc_x_MD_thal",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",1,"int_pval",0.000120012765555532,"CGRPaba","coherence",0.000174564022626228,TRUE
"Acc_x_MD_thal",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",3,"int_pval",9.84143744785785e-14,"CGRPaba","coherence",1.78500565855883e-13,TRUE
"Acc_x_MD_thal",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",3,"int_pval",0.0538475867917611,"CGRPaba","coherence",0.0670103302297471,FALSE
"Acc_x_Po",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_Po",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",3,"int_pval",0.000341611159315757,"CGRPaba","coherence",0.000485077018616352,TRUE
"Acc_x_RPBN",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_RPBN",4,"int_pval",0.149739211377077,"CGRPaba","coherence",0.179847631895256,FALSE
"Acc_x_VPM",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_VPM",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_VPM",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_VPM",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_VPM",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc_x_VPM",3,"int_pval",0.677058727180205,"CGRPaba","coherence",0.734436585415816,FALSE
"Acc_x_VPM",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
