"region_pair","freq_band","s_pval","int_pval"
"Acc_x_LPBN",1,2e-16,2e-16
"Acc_x_MD_thal",1,4.42157863783654e-06,5.825915475655e-14
"Acc_x_Po",1,2e-16,0.000986509226507515
"Acc_x_RPBN",1,2e-16,2e-16
"Acc_x_VPM",1,2e-16,0.00648192072656516
"LPBN_x_MD_thal",1,2e-16,0.00012502735479948
"LPBN_x_Po",1,2e-16,1.14193277545213e-08
"LPBN_x_RPBN",1,2e-16,0.000236492470894857
"LPBN_x_VPM",1,2e-16,2.16719146371884e-12
"MD_thal_x_Po",1,2e-16,7.06285052491883e-08
"MD_thal_x_RPBN",1,2e-16,1.86344764892909e-06
"MD_thal_x_VPM",1,2e-16,0.0391377273539516
"Po_x_RPBN",1,2e-16,6.06194280954668e-10
"Po_x_VPM",1,2e-16,1.963639206205e-10
"RPBN_x_VPM",1,2e-16,4.2349724159845e-16
"Acc_x_LPBN",2,2e-16,1.68417440363177e-09
"Acc_x_MD_thal",2,2e-16,0.315043911737121
"Acc_x_Po",2,8.54513173442761e-07,0.000879457515842041
"Acc_x_RPBN",2,2e-16,6.03815221367464e-07
"Acc_x_VPM",2,2e-16,4.5139406185829e-07
"LPBN_x_MD_thal",2,2e-16,5.0042664378472e-08
"LPBN_x_Po",2,2e-16,0.206998624546405
"LPBN_x_RPBN",2,0.000474616880762779,6.76473931628735e-12
"LPBN_x_VPM",2,2e-16,0.0584398585774304
"MD_thal_x_Po",2,2e-16,2.86739369230564e-07
"MD_thal_x_RPBN",2,1.16987814710034e-05,7.04529138559028e-07
"MD_thal_x_VPM",2,2e-16,0.451000917663319
"Po_x_RPBN",2,2e-16,0.398262054275595
"Po_x_VPM",2,2e-16,0.0351093348610515
"RPBN_x_VPM",2,2e-16,0.0136443502400477
"Acc_x_LPBN",3,2e-16,2e-16
"Acc_x_MD_thal",3,1.03939654716445e-07,2.59475694123218e-06
"Acc_x_Po",3,2e-16,0.0015481300557365
"Acc_x_RPBN",3,2e-16,1.99872463329299e-15
"Acc_x_VPM",3,2e-16,0.000142392306450398
"LPBN_x_MD_thal",3,2e-16,0.207311259394323
"LPBN_x_Po",3,2e-16,0.0451593690000073
"LPBN_x_RPBN",3,2.26916460104865e-05,7.07455486850502e-09
"LPBN_x_VPM",3,2e-16,1.38174517828456e-05
"MD_thal_x_Po",3,2e-16,5.77365198382313e-10
"MD_thal_x_RPBN",3,2e-16,0.64395550527648
"MD_thal_x_VPM",3,2e-16,0.0580555730836596
"Po_x_RPBN",3,2e-16,0.0153786429630014
"Po_x_VPM",3,2e-16,3.05151350734045e-05
"RPBN_x_VPM",3,2e-16,1.27217191578516e-07
"Acc_x_LPBN",4,0.000337323413704349,0.646905796273718
"Acc_x_MD_thal",4,0.00879196205632432,0.00837766312744549
"Acc_x_Po",4,2e-16,2.75910189381955e-08
"Acc_x_RPBN",4,0.000671515161289216,0.230340360391254
"Acc_x_VPM",4,2e-16,2e-16
"LPBN_x_MD_thal",4,2e-16,2e-16
"LPBN_x_Po",4,2e-16,2e-16
"LPBN_x_RPBN",4,2.26555280987695e-05,2e-16
"LPBN_x_VPM",4,2e-16,2e-16
"MD_thal_x_Po",4,2e-16,3.05652954736881e-06
"MD_thal_x_RPBN",4,0.000451385416269268,2e-16
"MD_thal_x_VPM",4,2e-16,0.0186146397275683
"Po_x_RPBN",4,2e-16,2e-16
"Po_x_VPM",4,2e-16,0.00884307436203812
"RPBN_x_VPM",4,0.0001462752549517,2e-16
"Acc_x_AMY",1,2e-16,1.11494743846007e-05
"AMY_x_LPBN",1,2e-16,5.04957535587025e-06
"AMY_x_MD_thal",1,2e-16,2.95717779173231e-13
"AMY_x_Po",1,2e-16,0.636087626114745
"AMY_x_RPBN",1,2e-16,8.41973119632661e-07
"AMY_x_VPM",1,2e-16,0.0154690996378616
"Acc_x_AMY",2,2e-16,0.0305541890309592
"AMY_x_LPBN",2,2e-16,0.00059108168163325
"AMY_x_MD_thal",2,2e-16,0.0353612644835563
"AMY_x_Po",2,2e-16,0.353311392975236
"AMY_x_RPBN",2,2e-16,0.000159397079251421
"AMY_x_VPM",2,2e-16,0.631455264513558
"Acc_x_AMY",3,2e-16,0.00130273847648046
"AMY_x_LPBN",3,2e-16,1.54804899776195e-05
"AMY_x_MD_thal",3,2e-16,5.97098156709421e-06
"AMY_x_Po",3,2e-16,0.440904140797779
"AMY_x_RPBN",3,2e-16,1.74905944569351e-06
"AMY_x_VPM",3,2e-16,0.0653981892781547
"Acc_x_AMY",4,6.2468803457838e-07,8.88672197923802e-14
"AMY_x_LPBN",4,2e-16,0.0852047221028271
"AMY_x_MD_thal",4,4.7112711627495e-06,0.0194031850867852
"AMY_x_Po",4,2e-16,0.0117107422290593
"AMY_x_RPBN",4,3.34987682557575e-05,0.399291594965772
"AMY_x_VPM",4,2e-16,1.47766471417104e-09
