"region","freq_band","s_pval","int_pval"
"Acc",1,1.17369448441318e-05,1.42493871975022e-13
"LPBN",1,2e-16,5.42279550758492e-05
"MD_thal",1,0.00357832007556103,0.0001156921910601
"Po",1,0.00442518104853118,2e-16
"RPBN",1,2e-16,1.07868319054875e-11
"VPM",1,0.00696644953325848,2e-16
"Acc",2,2e-16,0.0327259917344844
"LPBN",2,0.0168880882584519,4.73166034133904e-13
"MD_thal",2,0.000673343839978469,0.000809983673166896
"Po",2,2e-16,0.026401219138861
"RPBN",2,0.00152053235772059,0.0143957123284625
"VPM",2,2e-16,0.000139002852738201
"Acc",3,2e-16,1.65749446454353e-09
"LPBN",3,2.42056663779522e-06,3.39626232147577e-14
"MD_thal",3,0.000267923613722632,0.901652636031457
"Po",3,2e-16,2e-16
"RPBN",3,2.61906765353093e-06,2.08089136670439e-09
"VPM",3,2e-16,6.0308319517266e-07
"Acc",4,2e-16,2e-16
"LPBN",4,0.0113956132302516,2e-16
"MD_thal",4,2.46604535181771e-05,2e-16
"Po",4,2e-16,0.613713246008676
"RPBN",4,2e-16,3.79761365950658e-06
"VPM",4,2e-16,0.887356646231836
"AMY",1,2e-16,0.159594990731526
"AMY",2,2.33486186047016e-05,0.00527641995705897
"AMY",3,2e-16,0.00361010792990445
"AMY",4,2e-16,2e-16
